,object,animal,datetime
355,rfid,wolverine,2025-04-04 11:49:03.079
356,rfid,wolverine,2025-04-04 11:49:03.194
357,rfid,wolverine,2025-04-04 11:49:03.313
358,rfid,wolverine,2025-04-04 11:49:03.433
359,rfid,wolverine,2025-04-04 11:49:03.548
360,rfid,wolverine,2025-04-04 11:49:03.666
361,rfid,wolverine,2025-04-04 11:49:03.782
362,rfid,wolverine,2025-04-04 11:49:03.899
363,rfid,wolverine,2025-04-04 11:49:04.014
364,rfid,wolverine,2025-04-04 11:49:04.129
365,rfid,wolverine,2025-04-04 11:49:04.246
366,rfid,wolverine,2025-04-04 11:49:04.364
367,rfid,wolverine,2025-04-04 11:49:04.479
368,rfid,wolverine,2025-04-04 11:49:04.594
369,rfid,wolverine,2025-04-04 11:49:04.718
370,rfid,wolverine,2025-04-04 11:49:04.833
371,rfid,wolverine,2025-04-04 11:49:04.948
372,rfid,wolverine,2025-04-04 11:49:05.065
373,rfid,wolverine,2025-04-04 11:49:05.180
374,rfid,wolverine,2025-04-04 11:49:05.295
375,rfid,wolverine,2025-04-04 11:49:05.413
376,rfid,wolverine,2025-04-04 11:49:05.533
377,rfid,wolverine,2025-04-04 11:49:06.051
378,rfid,wolverine,2025-04-04 11:49:06.567
379,rfid,wolverine,2025-04-04 11:49:06.683
380,rfid,wolverine,2025-04-04 11:49:06.803
381,rfid,wolverine,2025-04-04 11:49:06.921
382,rfid,wolverine,2025-04-04 11:49:07.140
383,rfid,wolverine,2025-04-04 11:49:07.256
384,rfid,wolverine,2025-04-04 11:49:07.380
385,rfid,wolverine,2025-04-04 11:49:07.498
386,rfid,wolverine,2025-04-04 11:49:08.218
387,rfid,wolverine,2025-04-04 11:49:08.339
388,rfid,wolverine,2025-04-04 11:49:08.755
389,rfid,wolverine,2025-04-04 11:49:08.872
390,rfid,wolverine,2025-04-04 11:49:09.292
391,rfid,wolverine,2025-04-04 11:49:09.414
392,rfid,wolverine,2025-04-04 11:49:09.643
393,rfid,wolverine,2025-04-04 11:49:09.861
394,rfid,wolverine,2025-04-04 11:49:09.980
395,rfid,wolverine,2025-04-04 11:49:10.098
396,rfid,wolverine,2025-04-04 11:49:10.216
397,rfid,wolverine,2025-04-04 11:49:10.440
398,outerIR,-,2025-04-04 11:49:11.140
399,innerIR,-,2025-04-04 11:49:11.259
400,innerIR,-,2025-04-04 11:50:24.215
401,rfid,lychee,2025-04-04 11:50:24.364
402,outerIR,-,2025-04-04 11:50:24.387
403,innerIR,-,2025-04-04 11:50:25.404
404,innerIR,-,2025-04-04 11:50:31.329
405,outerIR,-,2025-04-04 11:53:11.276
406,rfid,lychee,2025-04-04 11:53:11.874
407,rfid,lychee,2025-04-04 11:53:11.992
408,innerIR,-,2025-04-04 11:53:12.006
409,rfid,lychee,2025-04-04 11:53:12.118
410,rfid,lychee,2025-04-04 11:53:12.237
411,rfid,lychee,2025-04-04 11:53:12.361
412,rfid,lychee,2025-04-04 11:53:12.781
413,rfid,lychee,2025-04-04 11:53:13.397
414,rfid,lychee,2025-04-04 11:53:16.018
415,rfid,lychee,2025-04-04 11:53:16.547
416,rfid,lychee,2025-04-04 11:53:16.965
417,rfid,lychee,2025-04-04 11:53:17.083
418,rfid,lychee,2025-04-04 11:53:17.201
419,rfid,lychee,2025-04-04 11:53:17.324
420,rfid,lychee,2025-04-04 11:53:17.440
421,rfid,lychee,2025-04-04 11:53:17.559
422,rfid,lychee,2025-04-04 11:53:17.676
423,rfid,lychee,2025-04-04 11:53:17.793
424,rfid,lychee,2025-04-04 11:53:18.111
425,rfid,lychee,2025-04-04 11:53:18.229
426,rfid,lychee,2025-04-04 11:53:18.349
427,rfid,lychee,2025-04-04 11:53:18.570
428,rfid,lychee,2025-04-04 11:53:18.789
429,innerIR,-,2025-04-04 11:53:18.842
430,rfid,lychee,2025-04-04 11:53:18.907
431,rfid,lychee,2025-04-04 11:53:19.029
432,rfid,lychee,2025-04-04 11:53:19.148
433,rfid,lychee,2025-04-04 11:53:19.262
434,rfid,lychee,2025-04-04 11:53:19.388
435,rfid,lychee,2025-04-04 11:53:19.509
436,outerIR,-,2025-04-04 11:53:49.816
437,rfid,lychee,2025-04-04 11:53:49.986
438,innerIR,-,2025-04-04 11:53:50.018
439,rfid,lychee,2025-04-04 11:53:50.106
440,innerIR,-,2025-04-04 11:53:56.801
441,innerIR,-,2025-04-04 11:54:03.788
442,innerIR,-,2025-04-04 11:54:12.555
443,outerIR,-,2025-04-04 11:54:12.843
444,rfid,lychee,2025-04-04 11:54:12.940
445,rfid,lychee,2025-04-04 11:54:13.058
446,rfid,lychee,2025-04-04 11:54:13.177
447,rfid,lychee,2025-04-04 11:54:13.297
448,innerIR,-,2025-04-04 11:54:15.262
449,outerIR,-,2025-04-04 11:54:29.106
450,innerIR,-,2025-04-04 11:54:29.333
451,rfid,lychee,2025-04-04 11:54:29.439
452,innerIR,-,2025-04-04 12:03:08.063
453,rfid,lemon,2025-04-04 12:03:08.667
454,rfid,lemon,2025-04-04 12:03:08.789
455,outerIR,-,2025-04-04 12:03:08.801
456,rfid,lemon,2025-04-04 12:03:08.912
457,rfid,lemon,2025-04-04 12:03:09.035
458,rfid,lemon,2025-04-04 12:03:09.155
459,rfid,lemon,2025-04-04 12:03:09.274
460,rfid,lemon,2025-04-04 12:03:09.391
461,rfid,lemon,2025-04-04 12:03:09.512
462,rfid,lemon,2025-04-04 12:03:09.633
463,rfid,lemon,2025-04-04 12:03:09.751
464,innerIR,-,2025-04-04 12:03:10.527
465,innerIR,-,2025-04-04 12:03:18.763
466,outerIR,-,2025-04-04 12:03:18.953
467,innerIR,-,2025-04-04 12:03:21.172
468,outerIR,-,2025-04-04 12:03:21.501
469,outerIR,-,2025-04-04 12:03:24.320
470,outerIR,-,2025-04-04 12:04:23.200
471,innerIR,-,2025-04-04 12:04:23.461
472,outerIR,-,2025-04-04 12:04:30.792
473,innerIR,-,2025-04-04 12:04:31.141
474,rfid,wolverine,2025-04-04 12:04:31.217
475,outerIR,-,2025-04-04 12:04:32.156
476,outerIR,-,2025-04-04 12:04:41.087
477,innerIR,-,2025-04-04 12:04:41.384
478,rfid,lemon,2025-04-04 12:04:41.561
479,outerIR,-,2025-04-04 12:05:13.358
480,innerIR,-,2025-04-04 12:05:14.141
